Fragment	F.Area	Region.Label	Area	Sample.Label	Effort	Size	distance	year
Karakandatra	279.91	Kianjavato	0	KK9.19	8000	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK11.19	3000	0	0	2019
Sangasanga	98.74	Kianjavato	0	SS2.19	8500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT1.19	7500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT2.19	8500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT4.19	6500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT5.19	8000	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT6.19	6500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT7.19	7500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT8.19	7000	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT9.19	7500	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT11.19	8000	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT12.19	8000	0	0	2019
Tsitola	1097.1	Kianjavato	0	TT13.19	8000	0	0	2019
Vatovavy	353.39	Kianjavato	0	VV1.19	13500	0	0	2019
Vatovavy	353.39	Kianjavato	0	VV14.19	13000	0	0	2019
Vatovavy	353.39	Kianjavato	0	VV15.19	13000	0	0	2019
Tsiazombazaha	81.37	Kianjavato	0	TZ1.19	8500	0	0	2019
Tsiazombazaha	81.37	Kianjavato	0	TZ2.19	8500	0	0	2019
Tsiazombazaha	81.37	Kianjavato	0	TZ3.19	4500	0	0	2019
Vatovavy	353.39	Kianjavato	0	VV10.19	13000	0	0	2019
