Fragment	F.Area	Sample.Label	Effort	sightdist	sightangle	Size	Region.Label	Area 			
Vatovavy	3533900	VV10.17	14500	0	0	0	2017	0			
Vatovavy	3533900	VV14.17	14500	0	0	0	2017	0			
Vatovavy	3533900	VV15.17	14500	0	0	0	2017	0			
Vatovavy	3533900	VV2.17	13500	0	0	0	2017	0			
Vatovavy	3533900	VV5.17	13500	0	0	0	2017	0			
Vatovavy	3533900	VV7.17	15000	0	0	0	2017	0			
Vatovavy	3533900	VV8.17	15000	7	30	2	2017	0			
Vatovavy	3533900	VV8.17	15000	15	59	2	2017	0			
Vatovavy	3533900	VV8.17	15000	5	20	2	2017	0			
Vatovavy	3533900	VV8.17	15000	10	60	3	2017	0			
Vatovavy	3533900	VV8.17	15000	9	70	2	2017	0			
Karakandatra	2799100	KK1.18	4000	0	0	0	2018	0			
Karakandatra	2799100	KK11.18	2500	0	0	0	2018	0			
Karakandatra	2799100	KK2.18	4000	0	0	0	2018	0			
Karakandatra	2799100	KK3.18	3500	0	0	0	2018	0			
Karakandatra	2799100	KK4.18	4000	0	0	0	2018	0			
Karakandatra	2799100	KK5.18	3500	0	0	0	2018	0			
Karakandatra	2799100	KK6.18	2500	0	0	0	2018	0			
Karakandatra	2799100	KK7.18	3500	0	0	0	2018	0			
Karakandatra	2799100	KK8.18	3000	0	0	0	2018	0			
Karakandatra	2799100	KK9.18	2500	0	0	0	2018	0			
Sangasanga	987400	SS2.18	4500	0	0	0	2018	0			
Sangasanga	987400	SS3.18	4500	0	0	0	2018	0			
Sangasanga	987400	SS4.18	4500	0	0	0	2018	0			
Tsitola	10971000	TT1.18	5500	0	0	0	2018	0			
Tsitola	10971000	TT11.18	2500	0	0	0	2018	0			
Tsitola	10971000	TT12.18	2500	0	0	0	2018	0			
Tsitola	10971000	TT13.18	2000	0	0	0	2018	0			
Tsitola	10971000	TT2.18	5500	0	0	0	2018	0			
Tsitola	10971000	TT4.18	2500	0	0	0	2018	0			
Tsitola	10971000	TT5.18	4000	0	0	0	2018	0			
Tsitola	10971000	TT6.18	2500	0	0	0	2018	0			
Tsitola	10971000	TT7.18	4000	0	0	0	2018	0			
Tsitola	10971000	TT8.18	2500	0	0	0	2018	0			
Tsitola	10971000	TT9.18	3000	0	0	0	2018	0			
Tsiazombazaha	813700	TZ1.18	4000	0	0	0	2018	0			
Tsiazombazaha	813700	TZ2.18	4000	0	0	0	2018	0			
Tsiazombazaha	813700	TZ3.18	4000	0	0	0	2018	0			
Vatovavy	3533900	VV1.18	12500	0	0	0	2018	0			
Vatovavy	3533900	VV10.18	12500	0	0	0	2018	0			
Vatovavy	3533900	VV14.18	12500	0	0	0	2018	0			
Vatovavy	3533900	VV15.18	13000	0	0	0	2018	0			
Vatovavy	3533900	VV2.18	12500	0	0	0	2018	0			
Vatovavy	3533900	VV5.18	12000	0	0	0	2018	0			
Vatovavy	3533900	VV7.18	11500	15	42	2	2018	0			
Vatovavy	3533900	VV8.18	12500	4	77	3	2018	0			
Vatovavy	3533900	VV8.18	12500	12	10	2	2018	0			
Vatovavy	3533900	VV8.18	12500	9	41	2	2018	0			
Karakandatra	2799100	KK1.19	4500	0	0	0	2019	0			
Karakandatra	2799100	KK11.19	3000	0	0	0	2019	0			
Karakandatra	2799100	KK2.19	8000	0	0	0	2019	0			
Karakandatra	2799100	KK3.19	8500	0	0	0	2019	0			
Karakandatra	2799100	KK4.19	6000	0	0	0	2019	0			
Karakandatra	2799100	KK5.19	6500	0	0	0	2019	0			
Karakandatra	2799100	KK6.19	8500	0	0	0	2019	0			
Karakandatra	2799100	KK7.19	8000	0	0	0	2019	0			
Karakandatra	2799100	KK8.19	8000	0	0	0	2019	0			
Karakandatra	2799100	KK9.19	8000	0	0	0	2019	0			
Sangasanga	987400	SS2.19	8500	0	0	0	2019	0			
Sangasanga	987400	SS3.19	8000	0	0	0	2019	0			
Sangasanga	987400	SS4.19	7500	0	0	0	2019	0			
Tsitola	10971000	TT1.19	7500	0	0	0	2019	0			
Tsitola	10971000	TT11.19	8000	0	0	0	2019	0			
Tsitola	10971000	TT12.19	8000	0	0	0	2019	0			
Tsitola	10971000	TT13.19	8000	0	0	0	2019	0			
Tsitola	10971000	TT2.19	8500	0	0	0	2019	0			
Tsitola	10971000	TT4.19	6500	0	0	0	2019	0			
Tsitola	10971000	TT5.19	8000	0	0	0	2019	0			
Tsitola	10971000	TT6.19	6500	0	0	0	2019	0			
Tsitola	10971000	TT7.19	7500	0	0	0	2019	0			
Tsitola	10971000	TT8.19	7000	0	0	0	2019	0			
Tsitola	10971000	TT9.19	7500	0	0	0	2019	0			
Tsiazombazaha	813700	TZ1.19	8500	0	0	0	2019	0			
Tsiazombazaha	813700	TZ2.19	8500	0	0	0	2019	0			
Tsiazombazaha	813700	TZ3.19	4500	0	0	0	2019	0			
Vatovavy	3533900	VV1.19	13500	5	30	2	2019	0			
Vatovavy	3533900	VV10.19	13000	0	0	0	2019	0			
Vatovavy	3533900	VV14.19	13000	0	0	0	2019	0			
Vatovavy	3533900	VV15.19	13000	0	0	0	2019	0			
Vatovavy	3533900	VV2.19	13500	2	65	2	2019	0			
Vatovavy	3533900	VV5.19	8500	20	65	3	2019	0			
Vatovavy	3533900	VV7.19	14500	0	0	0	2019	0			
Vatovavy	3533900	VV8.19	14000	4	53	2	2019	0			
											
											
											
											
